Item Code,Description,Item Group
A11625,PLASTIC BAG,OTC
A11807,^BLOOD PRESSURE TEST,SERVICE
PI0002,TRANSPORTATION,SERVICE
V10004,DISCONTINUE,OTC
A15075,~EXY GUT + 1S,CONSIGNMENT DR HANISAH
S00002,POSTAGE,SERVICE
000012,TEST,OTC
A13073,~DOTERRA ON GUARD CANDY 1'S,CONSIGNMENT DR HANISAH
A14041,~ HONEY STICK,CONSIGNMENT
A10373,*TLS FRUSINEA 3.0 1'S,SUPPLEMENT TLS
A14068,~EASY PARCEL,SERVICE
A11950,~EVERELLE LUMA FACE OIL 20ML,PERSONAL CARE
A13710,~YUM EARTH ORG ELDERBERRY LOLLIPOPS 170G,CONSIGNMENT DR HANISAH
A14924,~EXY SALVE 30ML,CONSIGNMENT DR HANISAH
A15127,NOVA ACTIVMAX PROBIOTIC JUNIOR 350G,SUPPLEMENT NOVA
A14415,~HEALTHY JOY SLOW-CARB ROTI BIJIRIN PENUH SERAT TINGGI CHEESE + VEGE (300GM),SUPPLEMENT NOVA
A12632,~YUM EARTH LOLLIPOP ORGANIC POPS 1'S,CONSIGNMENT DR HANISAH
PI0006,AGREED ADDITIONAL CHARGE,SERVICE
A14413,~HEALTHY JOY SLOW-CARB ROTI SOURDOUGH BIJIRIN PENUH (ROSEMARY+OREGANO) (300GM),SUPPLEMENT NOVA
A14411,~HEALTHY JOY SLOW-CARB ROTI GANDUM PENUH (300GM),SUPPLEMENT NOVA
A12483,~ CHOKI CHOKI CHOCOPASTE 50G,OTC
V10018,DOTTERA EASY AIR,OTC
A12941,DISCONTINUE,OTC
A10334,DR. P PREMIUM TAPE L 9'S,OTC
A14412,~HEALTHY JOY SLOW-CARB ROTI GANDUM PENUH + BIJIAN (55GM),SUPPLEMENT NOVA
A11833,PLASTIC WRAPPING 10CM X250GM,OTC
000011,TEST,OTC
A14931,DR. P PREMIUM TAPE XL 8S,REHAB & SUPPORT
A14657,~ KIDS MILK ( DUTCH LADY / FARM FRESH ),CONSIGNMENT DR HANISAH
A14052,~ NANO STEVIA  TUALANG TIGA,CONSIGNMENT
A14007,~AIR KOTAK 250ML,CONSIGNMENT DR HANISAH
A13440,~EXY CASTILLE BATH,CONSIGNMENT DR HANISAH
A13379,SCAN SALES REBATE,OTC
A12932,LAC MAGNESIUM 250MG 90S,OTC
A12865,ANTABAX HAND SANITISER SPRAY 50ML,OTC
A10333,ONCALL BLOOD LANCETS 100'S,MEDICAL DEVICE & SUPPLY
PI0015,VITAMIN D TEST,SERVICE
A14149,RENTAL STANDARD WHEELCHAIR,SERVICE
A14201,TISSEEL 2ML,OTC
A14735,~BIO-MC DISWASHING LIQUID (CITRUS LEMON & EUCALYTUS OIL) 1000ML,PERSONAL CARE
A14525,EXAMO CKM 500 450 TABS,OTC
A14997,~JUUNO KF94 KIDS FACE MASK (SAFARI) 3S,MEDICAL DEVICE & SUPPLY
A14998,~JUUNO KF94 KIDS FACE MASK (UNICORN) 3S,MEDICAL DEVICE & SUPPLY
A15106,~ PHS EXCLUSIVE BLACK SEED OIL 5ML ,SUPPLEMENT
A15071,~ KASIH66 MADU TUALANG 350G,CONSIGNMENT
A14999,~JUUNO KF94 KIDS FACE MASK (FANTASY UNICORN) 10S,MEDICAL DEVICE & SUPPLY
A14473,NOVA UBIQUINOL PLUS SOFTGEL 10S,SUPPLEMENT NOVA
A14414,~HEALTHY JOY SLOW-CARB CROISSANT (50GM),SUPPLEMENT NOVA
A14729,~BIO-MC FABRIC SPRAY (BLUEBELL DEW) 250ML,PERSONAL CARE
B10637,YSP BETAMETHASONE 0.5MG 10'S,POISON
A13935,PROMO ITEM,OTC
000007-ITE,Test variance (item 3),CONSIGNMENT
B10262,APO-ALLOPURINOL 300MG 10'S,POISON
A12186,~VOLTEN VR4 CAPSULE 50'S,CONSIGNMENT
S00003,DISCOUNT VOUCHER RM4,OTC
A11729,CRP + HS CRP TEST,SERVICE
A11414,~PHS BLACK SEED OIL 100ML,OTC
A11425,PRITAMOL SUPPOSITORIES 125MG 5'S (PARACETAMOL),OTC
A10686,PUREHERBS LUTEEN SUPER FRUIT JUICE 15G 1'S,OTC
V10002-BOX,DISCONTINUE,OTC
A13114,ORAL-B TB PRO HEALTH MEDIUM 1'S,PERSONAL CARE
A12934,~UFC COCONUT WATER 250ML,CONSIGNMENT DR HANISAH
A13008,FARM FRESH SUSU KURMA 700G,CONSIGNMENT
A14042,~ MINYAK KELAPA DARA 150ML,CONSIGNMENT
A14038,~ MADU KELULUT FRASER HILL 350G,CONSIGNMENT
A14309,~EASY PARCEL SABAH/SARAWAK,SERVICE
A13388,~ITCH RELIEF OIL SPRAY 30ML,CONSIGNMENT DR HANISAH
A13348,HOSPITECH RYLE'S TUBE W/X-RAY LINE SIZE 16,OTC
A13261,HARWANY PATI HARUAN ASLI 6+1FOC,OTC
A13688,AIKEN TEA TREE OIL FACIAL CLEANSER 100G,OTC
A13540,NATURALLE DIAMELON CAPS 60'S,OTC
A14730,~BIO-MC LINGERIE DETERGENT 200ML,PERSONAL CARE
A14731,~BIO-MC SUPER ENZYME STAIN REMOVER & LAUNDRY BOOSTER 550ML,PERSONAL CARE
A14627,~CIK BIBAH RTE DAGING DENDENG 150GM,FOOD & BEVERAGES
A14325,MERACLE SALVE 6.5G ,CONSIGNMENT
